,latitude,longitude,Data source,CO2/CO2e emissions source,CO2/CO2e emissions (in tonnes per year),CO2 or CO2e
0,43.653226000000004,-79.3831843,Opendatasoft,City,16151019.0,CO2
1,3.451647,-76.53198499999999,Opendatasoft,City,,CO2e
4,45.802578000000004,9.086356,Opendatasoft,City,3728678.0,CO2
5,37.6689,-122.0808,Opendatasoft,City,861854.0,CO2e
6,35.6896342,139.6921007,Opendatasoft,City,27611000.0,CO2e
7,54.891456000000005,10.404684,Opendatasoft,City,,CO2
11,-10.249091,-48.324286,Opendatasoft,City,589055.31,CO2e
13,47.6062095,-122.33207079999998,Opendatasoft,City,5150000.0,CO2e
14,46.0667,13.2333,Opendatasoft,City,438005.0,CO2
15,22.173333,-100.97005,Opendatasoft,City,1096122.89,CO2e
17,37.540725,-77.436048,Opendatasoft,City,1470127.0,CO2
20,53.4575955,-2.1578377,Opendatasoft,City,9587290.0,CO2e
21,45.0519969,9.6926451,Opendatasoft,City,,CO2
22,42.6526,-73.7562,Opendatasoft,City,663997.0,CO2e
23,29.760192699999998,-95.36938959999999,Opendatasoft,City,16075539.0,CO2e
26,39.5296,-119.8138,Opendatasoft,City,1371400.0,CO2e
28,49.398752,8.672433999999999,Opendatasoft,City,,CO2
29,52.2296756,21.012228699999998,Opendatasoft,City,7930452.0,CO2
30,-3.6727220000000003,-45.3831,Opendatasoft,City,,CO2e
31,42.393449,-71.082647,Opendatasoft,City,461798.0,CO2e
34,34.0219,-118.4814,Opendatasoft,City,119026.0,CO2e
36,39.236669,-8.685994,Opendatasoft,City,245483.0,CO2
39,14.559004000000002,121.08163200000001,Opendatasoft,City,462586.0,CO2e
40,30.2672,-97.7431,Opendatasoft,City,6439000.0,CO2e
41,39.2903848,-76.6121893,Opendatasoft,City,4019044.0,CO2e
42,38.9071923,-77.03687070000001,Opendatasoft,City,3132786.0,CO2e
43,13.756464999999999,121.05830800000001,Opendatasoft,City,344419.0,CO2e
44,40.107625299999995,-3.3875672999999997,Opendatasoft,City,6795577.0,CO2e
50,44.347961,9.318415,Opendatasoft,City,,CO2
51,-33.8674869,151.20699019999998,Opendatasoft,City,359064.0,CO2e
52,53.5510846,9.993681800000001,Opendatasoft,City,,CO2
53,22.629704999999998,120.343804,Opendatasoft,City,43502687.67,CO2e
55,38.660815,-9.079072,Opendatasoft,City,203441.0,CO2
58,41.1579438,-8.6291053,Opendatasoft,City,,CO2e
59,29.4241,-98.4936,Opendatasoft,City,7214051.0,CO2e
63,-29.8586804,31.0218404,Opendatasoft,City,11681810.0,CO2e
65,41.6611,-91.5302,Opendatasoft,City,590282.0,CO2e
66,35.1992,-111.6311,Opendatasoft,City,621293.07,CO2
70,45.52,-122.6819,Opendatasoft,City,4610317.0,CO2e
74,41.8781136,-87.62979820000001,Opendatasoft,City,16951471.0,CO2e
75,-34.603723200000005,-58.381593099999996,Opendatasoft,City,15561156.999999998,CO2e
76,-8.057838,-34.882897,Opendatasoft,City,1333830.0,CO2e
77,59.3293235,18.068580800000003,Opendatasoft,City,1834343.0,CO2e
78,42.358430799999994,-71.05977320000001,Opendatasoft,City,3603270.0,CO2e
79,36.1627,-86.7816,Opendatasoft,City,6680194.0,CO2e
80,39.737567,-104.9847179,Opendatasoft,City,4557000.0,CO2e
82,6.524379,3.379206,Opendatasoft,City,29426266.0,CO2e
83,-35.3075,149.1244,Opendatasoft,City,1757500.0,CO2e
84,44.983334,-93.26666999999999,Opendatasoft,City,2890572.0,CO2e
86,-6.2087634000000005,106.84559899999999,Opendatasoft,City,,CO2e
90,35.994,-78.8986,Opendatasoft,City,1973070.0,CO2e
92,39.952335,-75.16378900000001,Opendatasoft,City,12397594.06,CO2e
94,-25.431063,-49.264693,Opendatasoft,City,2686488.0,CO2e
95,-37.814107,144.96328,Opendatasoft,City,785326.0,CO2e
97,32.2217,-110.9265,Opendatasoft,City,2571089.0,CO2e
100,32.0835,-81.0998,Opendatasoft,City,2381327.0,CO2e
101,39.195,-106.837,Opendatasoft,City,,CO2e
103,40.575302,-8.445822,Opendatasoft,City,,CO2e
104,38.049365,-122.1585777,Opendatasoft,City,,CO2e
105,43.850854999999996,-79.02037299999999,Opendatasoft,City,6354.0,CO2
109,49.32699,-123.07328000000001,Opendatasoft,City,182896.0,CO2e
111,42.9837,-81.2497,Opendatasoft,City,2771000.0,CO2e
112,45.100637400000004,7.668004600000001,Opendatasoft,City,,CO2
113,24.702107,121.73775,Opendatasoft,City,6911264.55,CO2e
114,60.9833,25.65,Opendatasoft,City,717200.0,CO2e
115,34.385203000000004,132.45529299999998,Opendatasoft,City,,CO2e
116,-19.916681,-43.934492999999996,Opendatasoft,City,2804787.0,CO2e
118,60.451812600000004,22.266630300000003,Opendatasoft,City,421200.0,CO2e
119,45.433251500000004,12.3210704,Opendatasoft,City,955471.0,CO2
121,48.856614,2.3522218999999995,Opendatasoft,City,3359242.0,CO2e
124,39.7047,-105.0814,Opendatasoft,City,553900.0,CO2e
125,57.456779000000004,9.995764,Opendatasoft,City,289000.0,CO2
131,51.048615000000005,-114.070846,Opendatasoft,City,10448332.0,CO2e
132,55.656328,12.2898,Opendatasoft,City,173000.0,CO2
